Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
39,38,5,6,34,33,13,/content/generated_inputs_trafficsigns_occl0/occl_No entry_Yield_Yield_0.png
39,38,5,6,34,33,13,/content/generated_inputs_trafficsigns_light0/light_Keep right_Yield_Speed limit_20 km-h_0.png
39,38,5,6,34,33,13,/content/generated_inputs_trafficsigns_blackout2/blackout_Ahead only_Speed limit_30 km-h_Yield_0.png
39,38,5,6,34,33,13,/content/generated_inputs_trafficsigns_blackout1/blackout_Vehicles over 3.5 metric tons prohibited_No passing for vehicles over 3.5 metric tons_Right-of-way at the next intersection_0.png
39,38,5,6,34,33,13,/content/generated_inputs_trafficsigns_blackout0/blackout_Ahead only_Speed limit_30 km-h_Yield_0.png
39,38,5,6,34,33,13,/content/generated_inputs_trafficsigns_light2/light_Go straight or right_No entry_Bicycles crossing_0.png
39,38,5,6,34,33,13,/content/generated_inputs_trafficsigns_light1/light_Go straight or right_No entry_Bicycles crossing_0.png
39,38,5,6,34,33,13,/content/generated_inputs_trafficsigns_occl1/occl_Yield_Speed limit_30 km-h_Yield_0.png
39,39,5,5,34,34,4,/content/generated_inputs_trafficsigns_occl0/occl_Yield_Speed limit_70 km-h_Speed limit_70 km-h_1.png
39,39,5,5,34,34,4,/content/generated_inputs_trafficsigns_light0/light_Go straight or right_No entry_Bicycles crossing_1.png
39,39,5,5,34,34,4,/content/generated_inputs_trafficsigns_light2/light_Go straight or right_No entry_Bicycles crossing_1.png
39,39,5,5,34,34,4,/content/generated_inputs_trafficsigns_light1/light_Go straight or right_No entry_Bicycles crossing_1.png
39,39,5,5,34,34,4,/content/generated_inputs_trafficsigns_occl2/occl_Speed limit_70 km-h_Speed limit_70 km-h_Road work_1.png
39,39,5,5,34,34,4,/content/generated_inputs_trafficsigns_occl1/occl_Speed limit_70 km-h_Yield_Speed limit_70 km-h_1.png
47,52,6,5,41,46,39,/content/generated_inputs_trafficsigns_occl0/occl_General caution_Yield_Yield_2.png
47,52,6,5,41,46,39,/content/generated_inputs_trafficsigns_light0/light_Keep right_Yield_Speed limit_20 km-h_2.png
47,52,6,5,41,46,39,/content/generated_inputs_trafficsigns_light2/light_Go straight or right_No entry_Bicycles crossing_2.png
47,52,6,5,41,46,39,/content/generated_inputs_trafficsigns_light1/light_Go straight or right_No entry_Bicycles crossing_2.png
47,52,6,5,41,46,39,/content/generated_inputs_trafficsigns_occl2/occl_Keep right_Yield_Yield_2.png
47,52,6,5,41,46,39,/content/generated_inputs_trafficsigns_occl1/occl_Yield_Yield_Keep left_2.png
34,34,6,5,29,29,9,/content/generated_inputs_trafficsigns_occl0/occl_Stop_Yield_Yield_3.png
34,34,6,5,29,29,9,/content/generated_inputs_trafficsigns_light0/light_Keep right_Yield_Speed limit_20 km-h_3.png
34,34,6,5,29,29,9,/content/generated_inputs_trafficsigns_blackout2/blackout_Right-of-way at the next intersection_Yield_Yield_1.png
34,34,6,5,29,29,9,/content/generated_inputs_trafficsigns_blackout0/blackout_Road work_Wild animals crossing_Traffic signals_1.png
34,34,6,5,29,29,9,/content/generated_inputs_trafficsigns_light2/light_Go straight or right_No entry_Bicycles crossing_3.png
34,34,6,5,29,29,9,/content/generated_inputs_trafficsigns_light1/light_Keep right_Yield_Speed limit_20 km-h_3.png
34,34,6,5,29,29,9,/content/generated_inputs_trafficsigns_occl2/occl_Keep right_Yield_Yield_3.png
34,34,6,5,29,29,9,/content/generated_inputs_trafficsigns_occl1/occl_Stop_Speed limit_70 km-h_No passing_3.png
36,35,5,6,31,30,22,/content/generated_inputs_trafficsigns_occl0/occl_Bumpy road_Yield_Yield_4.png
36,35,5,6,31,30,22,/content/generated_inputs_trafficsigns_light0/light_Keep right_Yield_Speed limit_20 km-h_4.png
36,35,5,6,31,30,22,/content/generated_inputs_trafficsigns_light2/light_Go straight or right_No entry_Bicycles crossing_4.png
36,35,5,6,31,30,22,/content/generated_inputs_trafficsigns_light1/light_Keep right_Yield_Speed limit_20 km-h_4.png
36,35,5,6,31,30,22,/content/generated_inputs_trafficsigns_occl2/occl_Yield_No vehicles_Bicycles crossing_4.png
36,35,5,6,31,30,22,/content/generated_inputs_trafficsigns_occl1/occl_Bumpy road_Yield_Yield_4.png
26,27,5,5,21,22,12,/content/generated_inputs_trafficsigns_occl0/occl_No entry_Priority road_Yield_5.png
26,27,5,5,21,22,12,/content/generated_inputs_trafficsigns_light0/light_Keep right_Yield_Speed limit_20 km-h_5.png
26,27,5,5,21,22,12,/content/generated_inputs_trafficsigns_blackout1/blackout_Vehicles over 3.5 metric tons prohibited_Vehicles over 3.5 metric tons prohibited_Right-of-way at the next intersection_3.png
26,27,5,5,21,22,12,/content/generated_inputs_trafficsigns_blackout0/blackout_Vehicles over 3.5 metric tons prohibited_Vehicles over 3.5 metric tons prohibited_Right-of-way at the next intersection_2.png
26,27,5,5,21,22,12,/content/generated_inputs_trafficsigns_light2/light_Go straight or right_No entry_Bicycles crossing_5.png
26,27,5,5,21,22,12,/content/generated_inputs_trafficsigns_light1/light_Keep right_Yield_Speed limit_20 km-h_5.png
26,27,5,5,21,22,12,/content/generated_inputs_trafficsigns_occl2/occl_Priority road_Yield_Priority road_5.png
26,27,5,5,21,22,12,/content/generated_inputs_trafficsigns_occl1/occl_Yield_Priority road_Priority road_5.png
42,42,5,5,37,37,12,/content/generated_inputs_trafficsigns_occl0/occl_Keep right_Priority road_Priority road_6.png
42,42,5,5,37,37,12,/content/generated_inputs_trafficsigns_light0/light_Go straight or right_No entry_Bicycles crossing_6.png
42,42,5,5,37,37,12,/content/generated_inputs_trafficsigns_light2/light_Go straight or right_No entry_Bicycles crossing_6.png
42,42,5,5,37,37,12,/content/generated_inputs_trafficsigns_light1/light_Go straight or right_No entry_Bicycles crossing_6.png
42,42,5,5,37,37,12,/content/generated_inputs_trafficsigns_occl2/occl_Priority road_Yield_Priority road_6.png
42,42,5,5,37,37,12,/content/generated_inputs_trafficsigns_occl1/occl_Priority road_Road work_Priority road_6.png
38,40,6,5,32,34,38,/content/generated_inputs_trafficsigns_occl0/occl_Priority road_Yield_Keep right_7.png
38,40,6,5,32,34,38,/content/generated_inputs_trafficsigns_light0/light_Go straight or right_No entry_Bicycles crossing_7.png
38,40,6,5,32,34,38,/content/generated_inputs_trafficsigns_light2/light_Keep right_Yield_Speed limit_20 km-h_7.png
38,40,6,5,32,34,38,/content/generated_inputs_trafficsigns_light1/light_Go straight or right_No entry_Bicycles crossing_7.png
