Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
39,38,5,6,34,33,13,/content/generated_inputs_trafficsigns_blackout2/blackout_Speed limit_60 km-h_Speed limit_70 km-h_Speed limit_20 km-h_0.png
39,38,5,6,34,33,13,/content/generated_inputs_trafficsigns_blackout1/blackout_Yield_Priority road_No vehicles_0.png
39,38,5,6,34,33,13,/content/generated_inputs_trafficsigns_light1/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_0.png
39,38,5,6,34,33,13,/content/generated_inputs_trafficsigns_light2/light_Yield_Yield_Speed limit_50 km-h_0.png
39,38,5,6,34,33,13,/content/generated_inputs_trafficsigns_occl2/occl_No passing for vehicles over 3.5 metric tons_Keep right_Speed limit_60 km-h_0.png
39,38,5,6,34,33,13,/content/generated_inputs_trafficsigns_occl1/occl_No passing for vehicles over 3.5 metric tons_Speed limit_120 km-h_Speed limit_60 km-h_0.png
39,38,5,6,34,33,13,/content/generated_inputs_trafficsigns_occl0/occl_Dangerous curve to the right_Yield_Yield_0.png
39,38,5,6,34,33,13,/content/generated_inputs_trafficsigns_light0/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_0.png
39,38,5,6,34,33,13,/content/generated_inputs_trafficsigns_blackout0/blackout_Priority road_Right-of-way at the next intersection_End of speed limit_80 km-h_0.png
34,34,6,5,29,29,9,/content/generated_inputs_trafficsigns_blackout2/blackout_Yield_Priority road_No vehicles_1.png
68,69,6,7,62,63,10,/content/generated_inputs_trafficsigns_blackout2/blackout_No vehicles_Slippery road_Road narrows on the right_2.png
42,42,5,5,37,37,12,/content/generated_inputs_trafficsigns_blackout2/blackout_No vehicles_Priority road_Speed limit_80 km-h_3.png
42,42,5,5,37,37,12,/content/generated_inputs_trafficsigns_blackout1/blackout_No passing_Speed limit_100 km-h_No passing_379.png
83,79,7,7,76,72,1,/content/generated_inputs_trafficsigns_blackout2/blackout_Speed limit_70 km-h_Speed limit_70 km-h_Speed limit_30 km-h_5.png
83,79,7,7,76,72,1,/content/generated_inputs_trafficsigns_blackout1/blackout_No passing for vehicles over 3.5 metric tons_General caution_End of speed limit_80 km-h_389.png
83,79,7,7,76,72,1,/content/generated_inputs_trafficsigns_light1/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_10.png
83,79,7,7,76,72,1,/content/generated_inputs_trafficsigns_light2/light_Yield_Yield_Speed limit_50 km-h_10.png
83,79,7,7,76,72,1,/content/generated_inputs_trafficsigns_occl2/occl_Speed limit_30 km-h_Speed limit_60 km-h_Speed limit_60 km-h_10.png
83,79,7,7,76,72,1,/content/generated_inputs_trafficsigns_occl1/occl_Speed limit_100 km-h_Speed limit_120 km-h_Stop_10.png
83,79,7,7,76,72,1,/content/generated_inputs_trafficsigns_occl0/occl_Keep left_Speed limit_30 km-h_Speed limit_30 km-h_10.png
83,79,7,7,76,72,1,/content/generated_inputs_trafficsigns_light0/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_10.png
61,63,6,6,56,58,16,/content/generated_inputs_trafficsigns_blackout2/blackout_Speed limit_80 km-h_Priority road_Speed limit_80 km-h_6.png
61,63,6,6,56,58,16,/content/generated_inputs_trafficsigns_light1/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_12.png
61,63,6,6,56,58,16,/content/generated_inputs_trafficsigns_light2/light_Yield_Yield_Speed limit_50 km-h_12.png
61,63,6,6,56,58,16,/content/generated_inputs_trafficsigns_occl2/occl_Speed limit_60 km-h_Turn left ahead_Speed limit_60 km-h_12.png
61,63,6,6,56,58,16,/content/generated_inputs_trafficsigns_occl1/occl_Vehicles over 3.5 metric tons prohibited_Turn left ahead_Vehicles over 3.5 metric tons prohibited_12.png
61,63,6,6,56,58,16,/content/generated_inputs_trafficsigns_occl0/occl_Right-of-way at the next intersection_End of no passing_Vehicles over 3.5 metric tons prohibited_12.png
61,63,6,6,56,58,16,/content/generated_inputs_trafficsigns_light0/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_12.png
52,49,5,5,46,44,13,/content/generated_inputs_trafficsigns_blackout2/blackout_Priority road_Right-of-way at the next intersection_Right-of-way at the next intersection_8.png
45,47,5,5,40,42,2,/content/generated_inputs_trafficsigns_blackout2/blackout_Road work_Bicycles crossing_Speed limit_50 km-h_9.png
45,47,5,5,40,42,2,/content/generated_inputs_trafficsigns_blackout1/blackout_Road work_Bicycles crossing_Speed limit_50 km-h_7.png
43,43,5,5,37,37,18,/content/generated_inputs_trafficsigns_blackout2/blackout_Speed limit_120 km-h_Traffic signals_Children crossing_10.png
43,43,5,5,37,37,18,/content/generated_inputs_trafficsigns_blackout1/blackout_Beware of ice-snow_Wild animals crossing_Beware of ice-snow_8.png
34,34,6,6,29,29,9,/content/generated_inputs_trafficsigns_blackout2/blackout_Speed limit_100 km-h_Go straight or right_Children crossing_11.png
27,28,5,5,22,23,17,/content/generated_inputs_trafficsigns_blackout2/blackout_No passing_Priority road_Speed limit_30 km-h_12.png
27,28,5,5,22,23,17,/content/generated_inputs_trafficsigns_blackout1/blackout_Stop_End of speed limit_80 km-h_Speed limit_120 km-h_252.png
27,28,5,5,22,23,17,/content/generated_inputs_trafficsigns_light1/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_24.png
27,28,5,5,22,23,17,/content/generated_inputs_trafficsigns_light2/light_Yield_Yield_Speed limit_50 km-h_24.png
27,28,5,5,22,23,17,/content/generated_inputs_trafficsigns_occl2/occl_No passing for vehicles over 3.5 metric tons_Speed limit_60 km-h_Speed limit_70 km-h_24.png
27,28,5,5,22,23,17,/content/generated_inputs_trafficsigns_occl1/occl_No entry_No passing for vehicles over 3.5 metric tons_No entry_24.png
27,28,5,5,22,23,17,/content/generated_inputs_trafficsigns_occl0/occl_Right-of-way at the next intersection_No entry_Speed limit_20 km-h_24.png
27,28,5,5,22,23,17,/content/generated_inputs_trafficsigns_light0/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_24.png
28,27,6,5,23,22,16,/content/generated_inputs_trafficsigns_blackout2/blackout_Speed limit_70 km-h_Speed limit_100 km-h_Speed limit_100 km-h_13.png
28,27,6,5,23,22,16,/content/generated_inputs_trafficsigns_light1/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_26.png
28,27,6,5,23,22,16,/content/generated_inputs_trafficsigns_light2/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_26.png
28,27,6,5,23,22,16,/content/generated_inputs_trafficsigns_occl2/occl_No passing for vehicles over 3.5 metric tons_Speed limit_60 km-h_No passing for vehicles over 3.5 metric tons_26.png
28,27,6,5,23,22,16,/content/generated_inputs_trafficsigns_occl1/occl_Vehicles over 3.5 metric tons prohibited_Go straight or right_Dangerous curve to the right_26.png
28,27,6,5,23,22,16,/content/generated_inputs_trafficsigns_occl0/occl_Turn left ahead_Speed limit_120 km-h_Vehicles over 3.5 metric tons prohibited_26.png
28,27,6,5,23,22,16,/content/generated_inputs_trafficsigns_light0/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_26.png
26,27,5,5,21,21,3,/content/generated_inputs_trafficsigns_blackout2/blackout_Priority road_Right-of-way at the next intersection_Priority road_14.png
62,60,6,5,56,55,1,/content/generated_inputs_trafficsigns_blackout2/blackout_Speed limit_120 km-h_Speed limit_30 km-h_Speed limit_30 km-h_15.png
62,60,6,5,56,55,1,/content/generated_inputs_trafficsigns_light1/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_29.png
62,60,6,5,56,55,1,/content/generated_inputs_trafficsigns_light2/light_Yield_Yield_Speed limit_50 km-h_29.png
62,60,6,5,56,55,1,/content/generated_inputs_trafficsigns_occl2/occl_No passing for vehicles over 3.5 metric tons_Beware of ice-snow_Speed limit_60 km-h_29.png
62,60,6,5,56,55,1,/content/generated_inputs_trafficsigns_occl1/occl_Speed limit_100 km-h_Speed limit_120 km-h_Speed limit_100 km-h_29.png
62,60,6,5,56,55,1,/content/generated_inputs_trafficsigns_occl0/occl_Speed limit_70 km-h_Speed limit_30 km-h_Speed limit_30 km-h_29.png
62,60,6,5,56,55,1,/content/generated_inputs_trafficsigns_light0/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_29.png
62,60,6,5,56,55,1,/content/generated_inputs_trafficsigns_blackout0/blackout_Speed limit_50 km-h_Speed limit_30 km-h_Speed limit_30 km-h_12.png
49,46,5,6,44,41,31,/content/generated_inputs_trafficsigns_blackout2/blackout_Wild animals crossing_Bicycles crossing_Speed limit_120 km-h_16.png
49,46,5,6,44,41,31,/content/generated_inputs_trafficsigns_light1/light_Yield_Yield_Speed limit_50 km-h_31.png
49,46,5,6,44,41,31,/content/generated_inputs_trafficsigns_light2/light_Yield_Yield_Speed limit_50 km-h_31.png
49,46,5,6,44,41,31,/content/generated_inputs_trafficsigns_occl2/occl_Speed limit_70 km-h_Keep right_Speed limit_60 km-h_31.png
49,46,5,6,44,41,31,/content/generated_inputs_trafficsigns_occl1/occl_No passing for vehicles over 3.5 metric tons_Speed limit_100 km-h_No passing for vehicles over 3.5 metric tons_31.png
49,46,5,6,44,41,31,/content/generated_inputs_trafficsigns_occl0/occl_Turn left ahead_Wild animals crossing_Wild animals crossing_31.png
49,46,5,6,44,41,31,/content/generated_inputs_trafficsigns_light0/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_31.png
105,110,10,10,96,101,36,/content/generated_inputs_trafficsigns_blackout2/blackout_Go straight or right_Priority road_Go straight or right_17.png
48,51,5,5,43,46,3,/content/generated_inputs_trafficsigns_blackout2/blackout_Bicycles crossing_End of speed limit_80 km-h_Speed limit_20 km-h_18.png
48,51,5,5,43,46,3,/content/generated_inputs_trafficsigns_blackout1/blackout_Bicycles crossing_End of speed limit_80 km-h_Speed limit_20 km-h_15.png
48,51,5,5,43,46,3,/content/generated_inputs_trafficsigns_light1/light_Yield_Yield_Speed limit_50 km-h_34.png
48,51,5,5,43,46,3,/content/generated_inputs_trafficsigns_light2/light_Yield_Yield_Speed limit_50 km-h_34.png
48,51,5,5,43,46,3,/content/generated_inputs_trafficsigns_occl2/occl_No passing for vehicles over 3.5 metric tons_Speed limit_60 km-h_Speed limit_60 km-h_34.png
48,51,5,5,43,46,3,/content/generated_inputs_trafficsigns_occl1/occl_Vehicles over 3.5 metric tons prohibited_Keep right_Speed limit_60 km-h_34.png
48,51,5,5,43,46,3,/content/generated_inputs_trafficsigns_occl0/occl_Keep left_Speed limit_120 km-h_Wild animals crossing_34.png
48,51,5,5,43,46,3,/content/generated_inputs_trafficsigns_light0/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_34.png
117,111,11,9,107,102,31,/content/generated_inputs_trafficsigns_blackout2/blackout_Bicycles crossing_Vehicles over 3.5 metric tons prohibited_Yield_19.png
117,111,11,9,107,102,31,/content/generated_inputs_trafficsigns_blackout1/blackout_Bicycles crossing_Vehicles over 3.5 metric tons prohibited_Yield_16.png
117,111,11,9,107,102,31,/content/generated_inputs_trafficsigns_light1/light_Yield_Yield_Speed limit_50 km-h_36.png
117,111,11,9,107,102,31,/content/generated_inputs_trafficsigns_light2/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_36.png
117,111,11,9,107,102,31,/content/generated_inputs_trafficsigns_occl2/occl_Speed limit_60 km-h_Keep right_Speed limit_60 km-h_36.png
117,111,11,9,107,102,31,/content/generated_inputs_trafficsigns_occl1/occl_No passing for vehicles over 3.5 metric tons_Speed limit_100 km-h_No passing for vehicles over 3.5 metric tons_36.png
117,111,11,9,107,102,31,/content/generated_inputs_trafficsigns_occl0/occl_Wild animals crossing_Road work_Wild animals crossing_36.png
117,111,11,9,107,102,31,/content/generated_inputs_trafficsigns_light0/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_36.png
30,32,6,6,25,27,38,/content/generated_inputs_trafficsigns_blackout2/blackout_Keep right_Keep right_No vehicles_21.png
30,32,6,6,25,27,38,/content/generated_inputs_trafficsigns_blackout1/blackout_Speed limit_120 km-h_Go straight or right_No vehicles_18.png
45,39,6,5,39,34,26,/content/generated_inputs_trafficsigns_blackout2/blackout_Speed limit_70 km-h_Speed limit_100 km-h_General caution_23.png
45,39,6,5,39,34,26,/content/generated_inputs_trafficsigns_blackout1/blackout_Speed limit_70 km-h_Speed limit_100 km-h_General caution_21.png
45,39,6,5,39,34,26,/content/generated_inputs_trafficsigns_light1/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_41.png
45,39,6,5,39,34,26,/content/generated_inputs_trafficsigns_light2/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_41.png
45,39,6,5,39,34,26,/content/generated_inputs_trafficsigns_occl2/occl_No passing for vehicles over 3.5 metric tons_General caution_Dangerous curve to the right_41.png
45,39,6,5,39,34,26,/content/generated_inputs_trafficsigns_occl1/occl_No passing for vehicles over 3.5 metric tons_Beware of ice-snow_No passing for vehicles over 3.5 metric tons_41.png
45,39,6,5,39,34,26,/content/generated_inputs_trafficsigns_occl0/occl_Traffic signals_Speed limit_120 km-h_Traffic signals_41.png
45,39,6,5,39,34,26,/content/generated_inputs_trafficsigns_light0/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_41.png
39,39,5,6,33,34,1,/content/generated_inputs_trafficsigns_blackout2/blackout_Yield_Speed limit_30 km-h_Speed limit_30 km-h_24.png
39,39,5,6,33,34,1,/content/generated_inputs_trafficsigns_blackout1/blackout_No entry_Right-of-way at the next intersection_Stop_22.png
34,39,5,5,29,34,17,/content/generated_inputs_trafficsigns_blackout2/blackout_Bicycles crossing_Bumpy road_No vehicles_25.png
39,41,5,5,34,36,10,/content/generated_inputs_trafficsigns_blackout2/blackout_Keep right_Slippery road_Slippery road_26.png
34,34,6,6,29,29,3,/content/generated_inputs_trafficsigns_blackout2/blackout_Stop_General caution_Stop_27.png
34,34,6,6,29,29,3,/content/generated_inputs_trafficsigns_blackout1/blackout_Yield_Speed limit_100 km-h_Stop_24.png
84,62,7,6,76,57,10,/content/generated_inputs_trafficsigns_blackout2/blackout_No passing for vehicles over 3.5 metric tons_Speed limit_60 km-h_No passing for vehicles over 3.5 metric tons_28.png
84,62,7,6,76,57,10,/content/generated_inputs_trafficsigns_blackout1/blackout_No passing for vehicles over 3.5 metric tons_Speed limit_60 km-h_No passing for vehicles over 3.5 metric tons_26.png
84,62,7,6,76,57,10,/content/generated_inputs_trafficsigns_blackout0/blackout_Yield_Yield_No passing for vehicles over 3.5 metric tons_26.png
84,84,8,7,77,77,16,/content/generated_inputs_trafficsigns_blackout2/blackout_Priority road_End of speed limit_80 km-h_Vehicles over 3.5 metric tons prohibited_29.png
84,84,8,7,77,77,16,/content/generated_inputs_trafficsigns_blackout1/blackout_Priority road_End of speed limit_80 km-h_Vehicles over 3.5 metric tons prohibited_27.png
46,45,6,5,41,40,12,/content/generated_inputs_trafficsigns_blackout2/blackout_Priority road_General caution_Go straight or right_30.png
46,45,6,5,41,40,12,/content/generated_inputs_trafficsigns_blackout1/blackout_Priority road_General caution_Go straight or right_28.png
46,45,6,5,41,40,12,/content/generated_inputs_trafficsigns_light1/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_56.png
46,45,6,5,41,40,12,/content/generated_inputs_trafficsigns_light2/light_Yield_Yield_Speed limit_50 km-h_56.png
46,45,6,5,41,40,12,/content/generated_inputs_trafficsigns_occl2/occl_No passing for vehicles over 3.5 metric tons_Speed limit_100 km-h_Vehicles over 3.5 metric tons prohibited_56.png
46,45,6,5,41,40,12,/content/generated_inputs_trafficsigns_occl1/occl_No passing for vehicles over 3.5 metric tons_End of no passing for vehicles over 3.5 metric tons_No passing for vehicles over 3.5 metric tons_56.png
46,45,6,5,41,40,12,/content/generated_inputs_trafficsigns_occl0/occl_Right-of-way at the next intersection_Yield_Priority road_56.png
46,45,6,5,41,40,12,/content/generated_inputs_trafficsigns_light0/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_56.png
51,50,6,5,46,45,6,/content/generated_inputs_trafficsigns_blackout2/blackout_Pedestrians_Slippery road_General caution_31.png
51,50,6,5,46,45,6,/content/generated_inputs_trafficsigns_blackout1/blackout_Pedestrians_Slippery road_General caution_29.png
72,69,6,6,66,62,13,/content/generated_inputs_trafficsigns_blackout2/blackout_Yield_Right-of-way at the next intersection_Right-of-way at the next intersection_32.png
72,69,6,6,66,62,13,/content/generated_inputs_trafficsigns_blackout1/blackout_Yield_Right-of-way at the next intersection_Right-of-way at the next intersection_30.png
72,69,6,6,66,62,13,/content/generated_inputs_trafficsigns_light1/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_60.png
72,69,6,6,66,62,13,/content/generated_inputs_trafficsigns_light2/light_Yield_Yield_Speed limit_50 km-h_60.png
72,69,6,6,66,62,13,/content/generated_inputs_trafficsigns_occl2/occl_Keep right_Keep right_Speed limit_60 km-h_60.png
72,69,6,6,66,62,13,/content/generated_inputs_trafficsigns_occl1/occl_No passing for vehicles over 3.5 metric tons_Speed limit_100 km-h_No passing for vehicles over 3.5 metric tons_60.png
72,69,6,6,66,62,13,/content/generated_inputs_trafficsigns_occl0/occl_Dangerous curve to the right_Yield_Yield_60.png
72,69,6,6,66,62,13,/content/generated_inputs_trafficsigns_light0/light_Dangerous curve to the left_Wild animals crossing_Turn right ahead_60.png
56,50,6,6,51,45,23,/content/generated_inputs_trafficsigns_blackout2/blackout_Beware of ice-snow_Keep left_Slippery road_33.png
